height_cm,positions,skill_moves(1-5),crossing,finishing,short_passing,dribbling,freekick_accuracy,long_passing,ball_control,acceleration,agility,shot_power,stamina,long_shots,interceptions,vision,marking,standing_tackle
152.4,"RM,LM",3,59,68,70,74,66,35,72,83,76,70,75,63,13,61,38,18
175.26,LW,4,61,60,64,74,69,48,72,90,86,65,48,56,36,60,34,44
152.4,"ST,CF,CAM",3,36,74,71,75,32,53,72,75,66,61,61,58,24,52,32,18
187.96,CB,2,26,30,50,39,78,34,54,49,44,77,68,62,77,35,67,73
152.4,RB,2,64,56,63,62,29,58,66,85,78,59,88,46,65,58,59,66
172.72,LB,3,78,56,67,66,78,57,69,79,80,77,82,70,64,49,65,65
175.26,"LW,CAM",3,60,61,71,75,52,63,76,78,85,69,68,64,35,63,29,28
152.4,"CM,LB,CDM",3,70,59,70,68,69,69,70,77,72,72,81,69,71,69,61,68
195.58,GK,1,20,18,39,16,14,21,24,42,32,25,32,17,16,30,18,18
182.88,"RW,CM",4,68,66,72,72,61,66,71,77,79,68,79,62,59,69,56,61
182.88,"CB,RB",2,55,46,63,56,59,58,62,67,59,60,70,61,68,59,70,72
185.42,CB,2,40,29,64,50,42,58,57,67,64,48,69,37,67,44,68,72
152.4,"CAM,CM,LM",3,77,61,75,70,75,73,76,55,64,70,48,72,62,76,59,51
185.42,"CDM,CM",3,49,35,70,65,46,69,71,54,62,66,87,55,73,54,64,66
182.88,"LB,LM",2,68,28,64,60,29,53,63,86,72,62,82,48,66,51,64,65
185.42,CB,2,31,42,64,43,40,66,65,51,49,44,63,56,72,44,71,68
152.4,"ST,LM",3,60,71,59,68,42,46,67,80,81,69,64,69,46,58,55,52
172.72,"CDM,CAM,CM",2,58,43,72,60,42,70,68,73,81,62,78,46,64,60,73,71
182.88,CB,2,32,23,69,56,26,72,61,55,61,50,65,31,68,59,69,70
182.88,"CM,CDM",3,65,59,70,64,64,69,65,65,69,78,90,68,66,65,67,67
154.94,ST,3,64,66,63,72,49,65,71,75,73,71,76,67,35,67,27,25
172.72,"LM,RM,CF",3,56,63,63,73,39,43,69,92,91,69,72,55,22,58,30,18
190.5,CB,2,37,33,57,53,36,70,52,58,47,42,67,25,66,43,64,73
175.26,"ST,RM",3,57,74,62,69,31,52,67,78,78,71,70,56,32,67,56,16
187.96,CB,2,41,22,53,40,31,50,45,52,31,43,68,32,65,31,67,68
182.88,"CB,LB",2,72,29,68,61,65,67,68,45,64,64,69,65,70,65,74,66
185.42,CB,2,33,30,57,46,26,51,60,44,41,41,83,25,66,35,70,65
185.42,GK,1,18,11,23,13,13,16,26,39,45,18,30,16,25,35,14,12
190.5,ST,2,48,70,59,59,35,41,71,40,51,80,53,68,32,44,36,37
175.26,"LM,RM",3,65,61,64,71,52,57,70,91,89,72,75,58,46,64,32,25
172.72,"ST,LM,RM",3,66,70,72,74,50,65,70,70,76,67,65,66,38,68,50,45
182.88,"CDM,CM",3,58,49,70,66,56,67,70,68,62,75,73,68,73,69,55,69
185.42,"LM,RM,CAM",3,64,65,68,77,59,51,74,75,74,68,62,64,38,68,36,41
185.42,RB,2,52,24,68,55,26,66,66,68,60,34,67,28,71,49,68,75
175.26,"CM,CDM",3,60,53,72,67,55,66,71,68,70,58,84,56,70,65,67,72
190.5,"CM,CDM,CB",3,63,55,78,70,60,74,76,31,34,69,34,65,65,76,67,70
182.88,"LB,LM",3,70,42,69,72,49,63,68,85,73,54,73,43,64,64,67,68
154.94,LM,3,70,58,68,67,70,58,68,79,71,68,71,59,74,69,67,73
172.72,"RM,ST",3,70,61,62,73,53,60,70,83,74,66,71,65,60,61,26,40
154.94,"RB,RM",3,73,43,70,71,68,67,70,72,67,76,79,69,63,64,63,66
172.72,"LW,CAM,ST",3,66,70,65,73,56,60,73,76,83,76,63,75,26,70,19,23
154.94,"CM,CDM",3,58,57,70,68,59,69,72,62,72,59,80,61,74,71,60,60
175.26,ST,3,57,69,67,70,42,36,69,74,70,71,62,68,36,71,21,42
190.5,GK,1,19,10,24,12,17,20,14,40,33,23,40,20,28,37,18,12
195.58,GK,1,11,11,32,12,14,22,22,38,43,24,25,15,18,33,15,12
185.42,CB,2,35,21,62,50,28,59,55,64,52,50,68,23,66,54,67,71
162.56,"RM,ST",3,71,70,65,72,72,61,69,87,91,65,81,62,26,46,31,41
152.4,LB,2,73,48,62,48,63,60,75,62,63,62,79,59,57,48,68,68
182.88,"RM,RB",3,73,54,68,71,54,68,72,72,70,72,77,65,65,58,64,68
167.64,"RM,CAM,LM",3,58,68,70,78,64,64,76,76,85,76,70,73,17,70,47,32
152.4,ST,3,55,73,63,71,44,34,70,77,81,68,69,57,17,59,33,15
187.96,ST,2,54,68,62,63,40,37,62,66,63,68,65,63,20,64,40,24
152.4,LB,3,73,43,68,67,63,66,69,71,71,60,59,52,67,64,74,69
175.26,"RM,LM,CAM",3,67,62,66,70,73,68,68,84,83,77,85,73,66,67,62,58
152.4,"LM,RM",3,67,67,63,72,73,53,72,77,83,67,82,61,48,68,44,13
198.12,CB,2,52,35,68,52,50,66,60,35,34,63,74,51,66,48,67,74
175.26,"CAM,RM",4,70,63,70,72,63,70,72,67,75,67,51,68,42,70,42,34
182.88,CB,2,34,25,60,37,29,32,55,34,40,42,40,25,66,30,73,71
154.94,"CB,CDM",2,48,41,68,61,25,69,65,53,58,52,81,34,70,52,68,70
185.42,GK,1,19,14,32,17,22,27,20,46,46,26,51,19,20,17,22,13
185.42,GK,1,16,19,32,17,18,32,15,49,42,23,45,15,20,50,18,11
175.26,"LM,CAM",3,61,73,75,69,71,69,74,61,59,80,80,71,68,69,45,59
185.42,GK,1,14,18,41,16,20,45,22,50,67,16,43,16,16,30,19,15
154.94,CB,2,61,33,64,55,29,48,65,45,53,56,75,50,68,31,76,71
187.96,CDM,2,62,38,66,57,59,68,64,67,61,75,85,55,70,60,68,68
154.94,CB,2,58,28,56,45,35,56,53,34,51,68,39,36,69,44,74,70
182.88,ST,3,59,67,62,66,53,60,65,69,73,66,75,66,58,65,49,49
152.4,"ST,RW,CF",3,67,66,59,72,48,54,68,84,82,71,73,60,23,68,25,28
154.94,"CM,CDM",3,59,35,74,63,33,72,68,61,61,50,84,60,70,69,65,67
190.5,GK,1,16,14,34,20,12,35,22,35,31,21,26,13,19,43,17,9
182.88,"RB,LB,RM",3,64,56,67,66,60,63,66,77,80,64,82,61,63,63,70,66
167.64,"LM,RM",3,60,60,68,75,52,60,68,84,79,64,81,58,40,67,32,38
190.5,CB,2,65,34,67,56,42,72,65,60,58,61,66,39,63,57,65,71
175.26,"CM,LM",3,68,69,72,79,82,68,76,68,67,59,53,71,60,70,47,47
154.94,CB,2,53,34,71,59,31,73,60,49,54,49,73,40,66,51,74,71
195.58,GK,1,15,20,28,15,17,17,21,51,43,19,27,15,21,28,8,17
175.26,ST,3,56,68,54,68,49,46,76,81,90,78,62,60,26,60,16,15
182.88,"CM,CDM,CAM",3,68,48,71,67,68,69,73,67,68,74,78,63,70,71,69,70
170.18,LM,3,63,70,66,74,42,59,69,84,73,69,58,66,28,67,28,32
190.5,ST,3,52,72,66,64,43,49,69,63,63,69,69,61,28,56,26,18
187.96,GK,1,10,12,36,11,11,20,20,43,34,12,34,11,20,55,13,11
152.4,"CM,CDM",3,59,60,73,69,60,69,71,50,64,81,54,80,76,63,74,72
185.42,CM,3,47,48,73,70,45,70,73,71,66,67,70,46,69,65,69,71
187.96,GK,1,18,12,23,12,15,21,15,31,34,19,40,16,25,61,13,17
154.94,"CB,CDM,CM",3,52,44,67,61,40,69,66,64,61,67,74,59,67,60,70,70
190.5,CB,2,36,21,53,35,38,40,52,55,49,58,70,49,69,47,68,72
182.88,"RB,LB,CDM",2,67,35,70,62,58,52,67,68,68,71,70,64,69,57,68,72
154.94,"CM,CAM",3,56,67,72,67,63,69,70,74,61,64,78,68,64,72,61,60
185.42,ST,3,53,68,61,65,49,54,68,65,73,70,64,62,30,58,20,21
187.96,CB,2,19,25,57,17,11,66,59,31,44,62,45,21,66,43,75,70
175.26,"RB,CDM",3,70,59,64,67,35,72,66,77,73,72,70,69,69,67,75,71
187.96,"CDM,CM,CB,LM",3,58,49,75,70,59,64,74,63,60,88,88,61,59,70,61,66
187.96,GK,1,19,12,26,14,13,14,15,37,44,22,26,11,20,58,14,12
187.96,ST,3,31,72,58,65,35,35,68,68,63,69,72,64,16,59,26,15
175.26,"CM,CDM",3,63,60,70,70,67,69,68,77,80,66,83,67,70,68,67,65
193.04,GK,1,11,10,22,10,13,16,20,25,34,23,35,12,14,48,20,13
152.4,RB,2,71,48,60,57,61,59,64,74,72,77,84,55,70,43,73,68
152.4,"ST,RM,CAM",3,65,67,70,72,63,54,71,75,77,73,64,66,23,59,28,26
152.4,"CDM,CM",3,61,54,72,73,60,63,67,59,58,67,63,70,78,63,64,67
182.88,"CM,RM,CAM",3,78,60,71,72,75,66,75,70,71,75,81,71,42,77,35,45
182.88,CB,2,30,14,53,32,42,58,58,67,59,44,78,19,65,44,68,69
154.94,"LM,RM",3,66,67,65,72,65,62,71,74,77,72,61,66,35,67,43,21
193.04,GK,1,13,7,38,25,14,29,27,49,44,16,20,8,11,42,17,12
187.96,"CB,LB,CDM",2,65,21,67,51,32,72,64,47,51,45,65,26,67,59,68,70
152.4,ST,3,57,68,61,66,59,50,66,85,84,65,81,60,52,63,25,32
182.88,ST,2,55,70,65,62,51,36,66,64,65,70,64,62,32,61,19,32
185.42,"ST,CAM",3,73,67,71,70,70,66,68,64,65,80,70,76,39,67,47,31
152.4,"RM,RB",3,76,40,71,71,26,65,70,78,77,56,78,48,66,54,63,70
195.58,GK,1,12,12,40,14,14,35,25,35,31,23,30,14,24,50,25,14
182.88,GK,1,14,15,18,16,16,43,34,48,54,27,33,14,20,44,11,20
175.26,"CDM,CM",2,41,23,69,58,53,67,68,55,72,52,77,42,66,66,68,64
152.4,"CB,RB",3,64,39,71,71,59,64,68,78,84,62,66,54,68,59,65,70
152.4,"RW,RM",3,67,65,61,71,53,57,69,89,91,66,70,56,28,63,19,29
182.88,"RM,LM",3,71,32,66,69,54,66,69,77,68,64,88,59,69,59,62,75
190.5,"CDM,CB",3,52,34,74,70,39,65,72,34,42,65,62,36,70,51,68,66
187.96,"LM,ST",3,55,65,65,74,36,63,72,76,77,61,75,55,24,66,25,23
170.18,"CAM,CM",3,64,59,67,68,71,65,72,72,76,68,76,67,56,70,57,56
152.4,"LB,LM,LWB",3,69,49,68,68,59,61,65,83,81,71,82,59,65,59,56,64
152.4,"LB,LM,LWB",3,74,25,66,73,32,57,74,85,84,44,84,48,57,34,71,62
175.26,"RB,LB",2,60,35,60,69,49,47,62,68,72,48,72,40,68,42,68,72
172.72,"RB,CM,RM",3,69,58,70,65,56,67,67,72,82,49,88,58,66,61,58,59
190.5,GK,1,12,13,26,14,12,24,25,59,52,18,42,13,20,22,12,11
185.42,"CB,RB",2,23,32,53,38,61,49,58,46,39,71,54,45,63,26,69,69
175.26,"CM,CDM",3,66,50,72,63,57,69,68,71,70,70,83,64,72,66,70,71
154.94,ST,3,54,70,65,68,54,53,69,68,77,65,62,64,30,66,60,32
182.88,ST,2,40,72,62,59,45,52,69,56,71,70,62,65,20,55,45,18
182.88,"LB,CB,CDM",2,65,45,68,58,55,65,63,60,68,73,84,62,70,58,69,70
185.42,GK,1,18,11,33,12,15,29,23,42,44,19,33,13,21,37,12,12
193.04,GK,1,14,17,23,13,18,19,21,28,39,13,18,17,27,55,19,17
170.18,"CM,CDM",3,67,58,74,71,55,69,73,78,81,69,67,67,56,66,64,63
154.94,GK,1,13,9,16,13,12,11,14,29,49,33,22,15,8,48,24,18
185.42,"CB,CDM",3,42,42,70,63,53,60,65,69,63,82,83,65,68,62,65,69
175.26,"LM,RM",4,62,58,63,73,45,52,67,91,86,63,78,58,25,53,52,31
185.42,"CB,CDM",2,47,37,67,49,24,64,52,57,65,56,58,48,66,50,70,69
170.18,"RB,CM",3,69,32,66,65,34,64,73,71,70,45,74,48,64,58,68,68
182.88,"ST,LW,RW",3,56,72,64,65,65,45,64,80,67,72,69,64,18,63,44,18
167.64,"RM,RWB",3,71,59,68,69,50,52,66,88,83,65,74,62,63,59,40,62
152.4,"RM,LM",3,77,56,63,71,60,51,68,90,85,55,69,56,26,70,40,37
185.42,"CB,RB,LB",2,38,24,63,58,30,60,64,77,70,42,78,22,64,40,65,71
187.96,"ST,RW",3,41,73,65,66,52,58,70,68,63,68,68,55,23,57,34,33
182.88,CB,2,49,33,61,42,36,59,51,66,58,64,74,43,70,33,62,69
167.64,"CAM,CM",3,60,67,65,71,36,63,65,75,92,58,69,64,51,70,51,53
182.88,"CDM,CM,CB",2,42,32,69,61,25,67,69,60,60,77,69,50,66,67,69,66
187.96,CB,2,45,39,66,57,39,62,63,60,35,50,68,45,67,36,64,71
193.04,"CB,LB,RB",2,42,21,48,34,21,22,51,51,41,33,74,31,65,39,60,72
170.18,"RWB,RM",3,70,44,67,64,48,58,61,81,81,55,85,37,62,51,61,65
152.4,"CDM,CB",2,65,45,71,62,71,71,61,68,72,53,74,52,66,71,71,72
172.72,"CAM,LB,CM,RM",3,73,63,70,70,70,66,68,64,69,79,71,75,63,68,53,65
187.96,CB,2,33,23,52,44,28,56,44,37,36,40,42,28,65,44,69,70
154.94,GK,1,14,13,30,19,19,25,18,45,38,19,24,19,19,29,16,20
193.04,"CB,LB",2,38,30,58,51,23,58,57,58,50,45,61,18,65,37,67,69
187.96,ST,3,43,70,59,64,61,46,67,67,69,68,72,59,21,61,24,23
187.96,ST,2,51,72,61,59,53,50,63,56,69,73,62,59,28,55,26,31
172.72,"RB,RM",3,69,50,68,68,33,63,68,90,75,56,78,55,60,52,66,65
185.42,"ST,RW",4,58,69,62,70,53,55,69,85,80,73,75,69,25,66,33,25
195.58,GK,1,11,8,24,11,16,31,21,32,36,21,36,12,9,43,11,10
187.96,CB,2,26,23,48,63,25,39,65,68,48,38,66,21,63,56,71,68
190.5,"CDM,CB",2,44,48,64,60,46,60,65,55,57,79,76,78,74,52,70,72
185.42,GK,1,17,16,33,22,15,30,24,54,50,25,32,14,25,42,22,14
172.72,"CAM,LM,CM",3,61,61,71,70,78,66,70,70,80,68,62,69,29,65,62,55
193.04,GK,1,20,18,38,19,8,34,31,45,31,32,31,16,19,41,10,15
152.4,"CB,CM",2,53,40,65,48,46,63,56,53,51,52,61,47,72,39,69,69
185.42,GK,1,12,15,25,20,21,22,18,60,66,47,34,12,12,45,18,15
185.42,"CB,LB",2,69,30,66,60,52,68,63,65,52,70,66,63,70,46,70,67
152.4,"RM,CM,RB",3,72,50,70,70,44,69,72,74,69,62,60,47,57,64,60,64
187.96,CB,2,48,32,64,39,53,61,55,43,31,43,61,24,66,48,71,67
182.88,"LB,LM",3,77,50,71,67,43,73,69,76,58,65,88,71,63,62,59,62
193.04,CB,2,35,34,55,55,26,63,58,48,29,69,71,51,65,54,62,68
182.88,"CM,CDM",3,58,38,71,68,50,73,71,64,62,63,72,62,64,68,67,66
187.96,"LB,CB,LM",2,70,26,65,61,34,67,66,57,56,45,78,36,67,47,62,70
182.88,CB,2,40,17,62,44,30,52,57,61,53,36,55,16,66,41,67,71
170.18,"LW,LM,RW",3,70,69,65,70,45,62,69,79,79,66,68,60,52,55,43,45
182.88,ST,3,29,73,66,64,32,54,65,68,60,67,70,53,17,50,33,16
193.04,CB,2,40,44,65,51,67,68,62,50,60,76,69,63,66,59,72,67
172.72,CB,2,38,37,45,38,37,37,46,70,60,52,60,33,68,35,73,78
182.88,"LB,LM",2,74,35,67,61,57,65,66,65,45,60,85,59,70,58,65,59
185.42,ST,3,40,77,57,63,33,44,67,64,57,71,63,66,17,48,20,21
187.96,"CDM,CM",2,63,33,64,52,54,64,64,59,58,54,76,53,66,64,68,67
182.88,GK,1,15,20,24,15,18,27,15,45,39,21,38,15,23,50,8,17
152.4,ST,2,51,69,63,62,50,57,69,54,65,76,33,67,34,58,29,36
152.4,"RM,CAM",4,66,61,63,71,51,57,70,75,80,58,71,49,32,69,24,15
185.42,"ST,CF",2,49,71,51,61,44,38,62,75,70,71,84,65,19,48,36,24
187.96,GK,1,12,19,22,20,19,19,24,47,35,20,38,13,16,31,14,13
175.26,"RM,LM",3,71,59,69,69,36,67,71,79,76,62,70,51,24,53,49,45
182.88,"CB,RB",2,58,28,66,58,40,63,62,69,68,51,82,25,66,54,68,68
198.12,GK,1,16,17,28,15,22,25,25,36,28,20,30,15,19,36,14,16
182.88,ST,3,50,69,62,66,38,48,68,74,67,68,68,65,21,47,25,18
182.88,"CB,RB",2,38,34,73,66,38,62,68,74,68,51,70,32,66,55,69,69
154.94,"CB,RB",2,56,33,63,44,29,59,51,54,62,56,66,48,66,52,68,72
170.18,"LW,RW",3,71,63,68,72,69,69,70,78,82,65,65,60,42,66,16,31
193.04,CB,2,56,46,63,55,48,59,59,43,50,63,55,50,65,57,70,71
182.88,LB,3,76,46,72,71,75,72,74,77,69,68,73,70,63,61,63,64
154.94,CM,3,59,58,70,68,49,65,70,67,65,62,67,66,68,72,60,70
154.94,"CM,CDM",3,55,52,73,69,48,67,71,76,83,67,71,61,61,67,64,63
185.42,CB,2,27,25,69,41,21,63,56,74,50,34,75,25,72,42,67,68
187.96,ST,2,45,68,61,60,52,49,65,59,60,73,69,62,31,59,43,22
152.4,"CM,CAM",3,64,62,71,69,63,69,73,72,77,72,65,66,65,68,66,57
187.96,ST,3,40,70,59,67,41,35,69,63,63,71,65,53,30,51,30,42
182.88,"CAM,LM,ST",3,62,67,68,69,54,54,70,62,63,58,53,53,37,75,30,39
182.88,ST,2,30,69,63,61,66,38,68,65,66,68,67,66,24,50,48,36
182.88,ST,3,62,70,56,67,60,41,63,78,67,73,54,58,13,54,14,16
190.5,GK,1,11,8,22,9,10,21,18,33,39,19,23,8,9,33,11,10
182.88,RB,3,72,38,70,68,44,67,70,64,64,54,74,61,63,51,67,70
154.94,CDM,2,36,42,71,60,30,66,62,67,69,56,72,51,74,50,70,73
175.26,CM,3,52,60,70,69,38,73,70,66,60,66,72,70,59,69,60,62
165.1,"RB,LB,RM",3,71,41,67,66,42,64,65,77,91,50,77,44,65,62,63,66
175.26,"RB,RWB",3,67,47,62,68,29,59,65,85,72,70,74,50,65,54,66,69
152.4,"LB,LWB,CB,LM",3,70,36,61,63,70,63,64,67,72,68,75,43,65,62,64,69
152.4,LB,3,65,41,66,67,68,61,67,73,74,67,82,58,65,54,68,66
182.88,"CB,RB",2,43,49,65,48,31,55,64,67,65,56,71,34,67,46,66,69
185.42,CB,2,58,18,69,54,23,67,61,75,70,50,80,26,68,58,67,68
175.26,"CDM,CM",3,48,31,68,69,47,64,67,63,69,71,77,55,71,58,67,65
175.26,"LM,LW,CAM",3,65,68,74,69,62,66,71,76,60,66,59,61,25,61,58,49
185.42,ST,3,68,69,68,70,49,56,74,77,75,69,72,59,11,70,15,11
175.26,"RM,CAM,ST",3,68,55,70,69,70,65,70,74,81,68,62,64,32,72,33,27
193.04,GK,1,15,11,46,14,12,43,29,31,36,28,32,16,23,47,12,13
175.26,"LB,RB,RM",3,68,55,69,60,47,64,66,69,74,76,90,63,68,62,63,62
190.5,CB,2,35,39,64,58,33,63,63,71,61,43,64,34,73,43,62,70
152.4,"RWB,RB,LWB",3,61,61,66,70,42,62,67,79,77,64,60,60,67,68,70,73
170.18,CM,3,60,58,78,70,51,76,73,63,77,60,53,49,45,77,53,57
165.1,"RM,RWB,LM,CAM",3,65,64,70,74,58,49,66,77,79,67,75,60,54,67,56,56
152.4,"CB,LB",2,62,29,60,54,27,53,58,70,61,39,61,36,67,45,64,70
182.88,CB,2,41,27,56,39,31,48,54,63,55,46,61,21,69,30,69,69
185.42,"CM,LW",4,64,68,73,78,71,60,75,70,78,75,71,72,40,67,39,40
154.94,"LB,CB",3,65,48,66,68,44,60,63,68,69,53,71,59,71,55,50,76
187.96,ST,3,58,70,66,71,58,54,70,46,48,70,60,63,38,65,37,46
152.4,"RWB,CB",2,64,44,66,60,29,60,63,71,66,62,80,48,66,52,69,68
154.94,"CAM,RM,LM",3,62,65,69,74,62,55,70,74,67,68,69,61,22,74,42,18
170.18,CAM,3,64,45,70,76,57,55,72,83,87,58,61,49,30,69,50,41
190.5,CB,2,23,26,55,39,29,46,55,51,40,42,73,25,67,28,69,70
193.04,CB,2,28,23,61,42,26,44,50,49,31,38,68,21,71,32,58,71
187.96,ST,3,59,69,64,67,40,56,67,58,52,72,67,59,30,63,38,39
193.04,"ST,LM",2,63,68,50,67,43,48,61,62,65,76,66,61,44,55,38,41
175.26,"LW,RW",3,71,62,69,71,71,64,70,71,87,69,53,64,23,68,23,28
175.26,CM,3,47,55,76,67,40,72,73,61,65,52,63,51,58,65,60,57
152.4,CAM,3,69,63,71,68,70,67,68,64,71,76,69,68,42,71,29,32
195.58,ST,2,46,73,57,58,53,37,68,34,45,74,59,70,26,55,24,35
152.4,"RB,RM,RWB",3,67,45,67,68,59,60,67,72,71,64,77,51,71,65,64,66
185.42,GK,1,12,8,41,23,13,30,30,46,44,15,28,9,16,52,13,11
190.5,CB,2,28,23,69,45,33,71,70,67,63,47,67,24,71,34,67,72
154.94,"LM,CM,ST",3,52,74,73,72,42,71,71,74,66,63,67,70,58,60,65,61
190.5,ST,2,43,69,68,62,59,42,65,37,47,76,63,67,35,52,27,32
170.18,"CDM,CM",3,53,48,72,65,59,70,68,71,75,69,76,59,67,62,56,68
193.04,CB,2,52,52,63,56,61,60,61,39,41,71,70,56,70,64,72,66
152.4,ST,3,45,66,54,70,73,39,71,71,67,74,64,67,23,56,44,21
182.88,"CAM,LM,RM",3,64,62,66,73,65,65,75,65,59,75,70,71,63,65,48,56
185.42,"CM,CDM",4,56,58,68,67,33,70,70,74,68,61,75,63,66,64,62,62
154.94,ST,3,54,73,64,63,56,53,68,70,62,67,78,58,33,57,37,35
190.5,CB,2,49,44,58,58,61,59,55,57,53,72,71,61,65,49,72,67
152.4,"LB,LM",3,71,37,67,74,50,65,74,83,78,45,83,58,67,68,58,62
185.42,RB,3,68,27,65,65,40,61,64,66,71,66,68,50,69,39,70,68
167.64,CM,3,69,61,74,64,70,71,71,33,46,72,34,67,78,70,72,74
172.72,"CM,CDM",3,62,47,71,74,67,70,74,69,76,65,61,59,69,74,65,60
185.42,ST,3,28,71,59,64,33,51,66,79,77,68,72,65,21,58,37,41
185.42,LB,3,63,50,65,64,33,57,70,74,74,58,80,47,67,55,60,70
182.88,"CM,LM",3,59,65,72,76,65,68,70,82,78,65,69,72,48,68,49,48
182.88,"RM,CM",3,71,48,67,70,55,63,67,78,79,70,86,55,44,70,51,53
182.88,ST,3,44,71,58,64,40,41,67,69,66,65,80,60,25,55,23,12
185.42,ST,2,50,66,59,63,31,46,61,73,42,78,66,61,13,59,23,26
172.72,"RM,RW,LM",3,57,58,63,75,59,54,74,87,90,62,63,65,35,67,34,27
170.18,"CAM,LM",3,50,56,71,70,68,64,71,78,70,63,45,59,22,67,41,44
182.88,CM,3,70,55,72,64,64,69,72,60,60,65,75,66,51,70,52,63
152.4,"RM,CM,LM",3,65,65,68,64,61,65,67,74,63,65,85,64,60,66,53,46
152.4,"ST,CF",4,60,50,68,75,56,51,76,82,70,72,60,67,24,55,26,14
187.96,"CB,CDM",2,44,36,69,60,52,67,57,62,69,74,74,45,72,66,67,66
152.4,CM,3,68,59,71,65,56,69,70,72,80,71,77,67,66,68,56,62
154.94,"CM,CB,CDM",3,69,40,76,69,44,72,75,72,66,59,71,36,63,71,67,70
154.94,"ST,RM,LM",3,63,67,67,74,44,64,71,72,71,68,69,64,32,61,40,30
154.94,GK,1,9,12,20,15,9,22,22,54,57,16,42,8,22,33,10,11
185.42,"CDM,CM",3,41,52,75,71,60,72,70,64,77,63,61,57,69,67,62,69
200.66,GK,1,11,8,19,13,14,17,10,33,25,24,21,5,13,50,13,13
190.5,CB,2,33,27,55,42,45,59,45,63,48,60,71,44,71,35,69,70
193.04,CB,2,30,33,61,34,42,57,45,51,52,60,65,34,67,30,71,67
182.88,ST,4,55,69,66,75,45,62,70,89,83,67,74,60,23,59,43,45
182.88,GK,1,14,20,43,22,24,31,18,51,50,35,44,13,21,45,24,24
182.88,"CM,CDM",3,68,70,66,65,34,63,72,69,73,68,85,71,63,67,62,63
182.88,"CB,LB",3,64,30,69,63,24,69,65,74,66,45,65,19,68,67,71,69
154.94,"CM,CDM",3,58,63,70,64,50,67,69,51,64,69,75,62,68,69,58,71
167.64,CAM,4,51,68,68,78,54,47,74,70,79,53,48,61,35,64,40,47
193.04,GK,1,10,10,20,12,16,17,23,19,30,19,19,11,12,36,8,16
190.5,CB,2,42,29,60,52,31,61,61,44,50,58,69,39,70,37,69,67
172.72,"CM,CAM",3,59,59,73,71,75,67,73,71,70,71,67,70,57,70,53,56
172.72,CM,3,58,56,70,74,42,66,73,79,82,73,76,68,55,67,43,58
172.72,ST,3,53,70,62,68,58,59,66,73,75,70,69,64,21,54,27,19
182.88,"RM,LM",3,67,68,67,70,73,62,67,79,72,69,62,65,25,66,31,28
172.72,"CDM,CM,CAM",3,59,57,74,72,72,71,72,78,81,70,76,56,63,73,64,67
190.5,GK,1,15,16,36,11,14,32,16,46,52,20,22,14,20,39,11,11
182.88,LB,3,68,32,69,64,45,56,66,69,69,54,73,39,67,54,70,64
193.04,CB,2,32,26,55,35,28,34,48,65,44,49,66,30,65,36,67,68
185.42,"LB,CB",3,67,29,67,63,35,44,66,77,66,45,63,32,64,44,66,73
165.1,"LM,CAM",3,64,59,71,69,63,61,67,83,81,60,68,65,23,65,30,40
187.96,GK,1,11,17,27,20,15,22,19,30,31,23,25,14,16,50,25,16
175.26,RB,3,66,58,65,70,41,57,67,84,73,71,74,59,67,60,70,63
152.4,RB,2,62,28,67,60,31,52,68,91,75,36,81,38,64,56,58,69
182.88,CB,2,33,31,47,41,32,44,48,51,34,42,71,42,66,21,69,74
154.94,"CM,CDM",3,61,44,72,67,52,68,70,73,73,62,78,63,69,70,61,65
187.96,GK,1,12,13,23,16,13,19,18,41,35,24,26,13,20,35,14,17
175.26,ST,3,53,66,62,72,56,42,71,81,79,77,64,60,26,57,31,30
193.04,"RW,LW,CM",3,58,65,73,74,68,76,71,73,69,70,75,54,48,72,47,60
152.4,CDM,2,38,29,64,53,43,59,64,70,72,57,90,28,67,49,65,69
170.18,"CDM,CM",3,56,58,67,63,72,77,74,61,72,80,83,79,53,68,69,68
193.04,ST,2,58,69,61,61,45,57,61,70,62,77,65,65,36,60,30,27
167.64,"CAM,CF,ST",3,66,70,70,66,71,71,71,55,60,74,70,73,23,71,46,54
190.5,CDM,2,60,33,66,63,43,65,64,54,34,70,75,62,72,68,61,68
152.4,"CDM,CM,CAM,RM",2,65,63,70,62,72,65,66,74,69,68,70,67,67,72,68,66
175.26,"CB,LB",2,61,29,69,54,40,66,62,62,61,60,75,42,73,54,70,68
182.88,CB,2,43,19,47,30,49,26,48,34,46,55,61,35,69,40,68,68
175.26,"CDM,CB,CM",2,54,48,70,59,50,69,63,69,66,63,75,59,69,53,72,67
190.5,"CDM,CM",3,57,49,67,69,51,64,71,67,79,80,74,57,67,66,63,67
152.4,"RW,RM,LW,ST",3,63,69,65,71,63,52,69,81,78,75,77,64,36,63,31,32
152.4,CB,2,41,30,61,46,41,59,57,66,60,52,66,32,64,27,68,75
182.88,"CDM,CB,CM",2,58,45,71,60,36,67,65,62,64,59,73,55,69,65,69,68
152.4,"ST,RW,LW",3,65,62,64,72,44,58,73,78,75,74,72,70,23,56,33,36
190.5,GK,1,20,12,27,17,10,25,23,55,44,12,45,14,24,32,21,23
185.42,"CB,RB",2,40,42,62,40,26,58,55,61,69,61,76,41,58,42,65,68
175.26,"CAM,LM,RM",3,64,67,67,69,62,64,68,83,87,58,74,63,31,66,32,51
